"match_id","series","round_num","t_team","ct_team","map_name","winning_team","winning_side","start_tick","end_tick","round_end_reason","ct_buy_type","t_buy_type","is_warmup","created_at"
"2hwmhm2w",3,11,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",145449,159568,"CTWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,12,"EC Brugge","mastermix123","de_nuke","EC Brugge","T",160464,174294,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,13,"EC Brugge","mastermix123","de_nuke","EC Brugge","T",175190,185405,"TargetBombed","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,14,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",186301,200831,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,15,"EC Brugge","mastermix123","de_nuke","mastermix123","CT",201727,218623,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,16,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",219519,234943,"CTWin","Eco","Eco",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,17,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",235839,250637,"CTWin","Half Buy","Full Eco",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,18,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",251533,266962,"CTWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,19,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",267858,273895,"CTWin","Full Buy","Half Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,20,"mastermix123","EC Brugge","de_nuke","mastermix123","T",274791,291273,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,21,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",292169,303263,"BombDefused","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,22,"mastermix123","EC Brugge","de_nuke","EC Brugge","CT",304159,319365,"CTWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
"2hwmhm2w",3,23,"mastermix123","EC Brugge","de_nuke","mastermix123","T",320261,334140,"TerroristsWin","Full Buy","Full Buy",False,"2023-06-05 10:25:26.429591+00"
