"match_id","series","round_num","tick","seconds","clock_time","player_steam_id","player_name","player_team","bomb_action","bomb_site","created_at"
"2hwmhm2w",2,16,233838,48.375,"01:07","76561198314392309","n0te","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,16,234228,51.421875,"01:04","76561198314392309","n0te","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,17,241769,25.953125,"01:30","76561198314392309","n0te","mastermix123","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,17,242159,29,"01:26","76561198314392309","n0te","mastermix123","plant","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,17,245475,25.90625,"00:15","76561198140853900","Stev0se","EC Brugge","defuse_start","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,17,245845,28.796875,"00:12","76561198140853900","Stev0se","EC Brugge","defuse_aborted","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,18,254071,42.25,"01:13","76561198314392309","n0te","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,18,254461,45.296875,"01:10","76561198314392309","n0te","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,20,282751,68.65625,"00:47","76561198314392309","n0te","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,20,283141,71.703125,"00:44","76561198314392309","n0te","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,21,303335,94.765625,"00:21","76561198314392309","n0te","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,21,303725,97.8125,"00:18","76561198314392309","n0te","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,22,314020,46.328125,"01:09","76561198037278295","Beruya","mastermix123","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,22,314410,49.375,"01:06","76561198037278295","Beruya","mastermix123","plant","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,22,317162,21.5,"00:19","76561197971923260","simixinho","EC Brugge","defuse_start","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,22,318445,31.5234375,"00:09","76561197971923260","simixinho","EC Brugge","defuse","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,23,328877,59.515625,"00:56","76561198314392309","n0te","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,23,329267,62.5625,"00:53","76561198314392309","n0te","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,23,331609,18.296875,"00:22","76561198140853900","Stev0se","EC Brugge","defuse_start","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,23,332249,23.296875,"00:17","76561198140853900","Stev0se","EC Brugge","defuse","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,25,347575,21.90625,"01:34","76561198314392309","n0te","mastermix123","plant_begin","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,25,347965,24.953125,"01:31","76561198314392309","n0te","mastermix123","plant","A","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,26,357614,24.671875,"01:31","76561198100798845","Arttub0b","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,26,358004,27.71875,"01:28","76561198100798845","Arttub0b","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,27,369289,25.15625,"01:30","76561198821532633","eneshan","mastermix123","plant_begin","B","2023-06-05 10:23:10.6181+00"
"2hwmhm2w",2,27,369679,28.203125,"01:27","76561198821532633","eneshan","mastermix123","plant","B","2023-06-05 10:23:10.6181+00"
