"match_id","series","round_num","entity_id","throw_tick","throw_seconds","throw_clock_time","thrower_steam_id","thrower_name","thrower_side","thrower_team","thrower_x","thrower_y","thrower_z","thrower_area_name","thrower_area_id","grenade_type","grenade_x","grenade_y","grenade_z","grenade_area_name","grenade_area_id","created_at","idx"
"2hwmhm2w",1,12,1934448304744393383,187216,37.953125,"01:18","76561198314392309","n0te","T","mastermix123",724.84375,2485.34375,199.6875,"BombsiteB","522","Smoke Grenade",1037.6875,2745,129.34375,"Ruins","89","2023-06-05 10:21:16.558091+00",204
"2hwmhm2w",1,7,1936887909536094014,103266,15.578125,"01:40","76561198821532633","eneshan","T","mastermix123",116.59375,987.96875,139.8125,"Banana","188","Smoke Grenade",110.46875,1349.34375,97.90625,"Banana","251","2023-06-05 10:21:16.558091+00",100
"2hwmhm2w",1,4,1936920410388471515,69214,49.640625,"01:06","76561198032071879","n0tice","CT","EC Brugge",650.3125,2556.1875,261.25,"BombsiteB","2087","Smoke Grenade",775.8125,2355.09375,137.1875,"BombsiteB","65","2023-06-05 10:21:16.558091+00",54
"2hwmhm2w",1,4,1945047990036389761,66056,24.96875,"01:31","76561198032071879","n0tice","CT","EC Brugge",142.625,2670.84375,262.09375,"BombsiteB","1883","Incendiary Grenade",463,2048.25,186.15625,"Banana","507","2023-06-05 10:21:16.558091+00",49
"2hwmhm2w",1,11,1957674747442991035,166580,8.015625,"01:47","76561198100798845","Arttub0b","T","mastermix123",-259.59375,839.15625,83.5,"TRamp","190","Flashbang",1175.09375,463.65625,136.0625,"Middle","21","2023-06-05 10:21:16.558091+00",176
"2hwmhm2w",1,20,1961309575530139523,287505,7.96875,"01:48","76561198314392309","n0te","CT","mastermix123",844.46875,2611.34375,245.21875,"BombsiteB","2822","Incendiary Grenade",261.5625,1725.8125,184.03125,"Banana","56","2023-06-05 10:21:16.558091+00",318
"2hwmhm2w",1,12,1975500107893033892,186408,31.640625,"01:24","76561198100798845","Arttub0b","T","mastermix123",112.78125,1580,208,"Banana","975","Smoke Grenade",424.59375,3209.59375,162,"BombsiteB","516","2023-06-05 10:21:16.558091+00",200
"2hwmhm2w",1,7,2001000067649383604,112816,4.71875,"00:36","76561198246325048","swiiffter","CT","EC Brugge",1215.75,2840.9375,220.28125,"Ruins","23","HE Grenade",635.125,2983.21875,188.625,"BombsiteB","2819","2023-06-05 10:21:16.558091+00",110
"2hwmhm2w",1,5,2023475524885980038,81411,7.9375,"01:48","76561198821532633","eneshan","T","mastermix123",-851.03125,387.9375,86.03125,"LowerMid","1107","Smoke Grenade",418.65625,1959.09375,130.03125,"Banana","118","2023-06-05 10:21:16.558091+00",57
"2hwmhm2w",1,12,2039479136640020684,184956,20.296875,"01:35","76561197971923260","simixinho","CT","EC Brugge",2235.75,-1.6875,198.8125,"BombsiteA","95","Incendiary Grenade",1465.1875,-266.09375,258.40625,"Apartments","2627","2023-06-05 10:21:16.558091+00",194
"2hwmhm2w",1,13,2046963496781024500,197118,10.453125,"01:45","76561198315324300","MAGILA-","CT","EC Brugge",778.96875,2282.75,191.25,"BombsiteB","65","Incendiary Grenade",149.34375,1379.21875,103.03125,"Banana","73","2023-06-05 10:21:16.558091+00",215
"2hwmhm2w",1,9,7180045267679229216,136707,8.90625,"01:47","76561198821532633","eneshan","T","mastermix123",64.0625,931.65625,146.6875,"Banana","1235","Molotov",596.375,1937.53125,134.65625,"Banana","509","2023-06-05 10:21:16.558091+00",142
"2hwmhm2w",1,12,2088846614624085757,184688,18.203125,"01:37","76561198140853900","Stev0se","CT","EC Brugge",1502.84375,778.5,205.4375,"TopofMid","2807","Smoke Grenade",1377.53125,927.5,147.6875,"TopofMid","80","2023-06-05 10:21:16.558091+00",193
